year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,sale_date,sale_time
2006,Bmw,3 Series,325i,Sedan,Automatic,wbavb175x6nk38678,CA,28,90996,Silver,Black,bmw of riverside,7425,9100,2015-06-02,05:30:00
2012,Chevrolet,Express Cargo,1500,Van,Automatic,1gcsgafx6c1149154,CA,26,98572,White,Gray,danna investments llc,11100,11700,2015-06-02,05:30:00
2011,Chevrolet,Impala,LT Fleet,Sedan,Automatic,2g1wg5ek0b1286347,CO,27,67132,Gray,Gray,wheels exchange llc,8350,8200,2015-06-02,05:00:00
2012,Chevrolet,Volt,Base,Hatchback,Automatic,1g1rh6e43cu124123,CA,42,37226,White,Black,fiserv/usb dealer services northstar exchange,13900,17000,2015-06-02,05:30:00
2010,Chrysler,Sebring,Touring,Sedan,Automatic,1c3cc4fb6an232583,MD,22,102363,White,Black,darcars chrysler jeep,4950,4100,2015-06-02,02:30:00
2012,Dodge,Challenger,SRT8 392,Coupe,Automatic,2c3cdycj3ch146840,CA,4,41039,Red,Black,fiserv/usb dealer services northstar exchange,31300,32000,2015-06-02,05:30:00
2010,Ford,F-150,FX2,SuperCrew,Automatic,1ftew1c87ake26690,GA,4,79793,Gray,Black,centerpoint auto exchange llc,18500,21300,2015-06-02,02:30:00
2006,Ford,Five Hundred,SEL,Sedan,Automatic,1fafp24176g155218,NC,22,119928,Beige,Tan,dt credit corporation,2500,2200,2015-06-02,02:30:00
2013,Honda,Accord,EX-L,Sedan,Automatic,1hgcr2f84da123863,OH,42,79670,Gold,Tan,pauley motor car co preowned vehicles llc,17700,15300,2015-06-02,02:30:00
2005,Jeep,Grand Cherokee,Laredo,SUV,Automatic,1j4gs48k55c580142,FL,19,127826,Gold,Beige,autonation toyota winter park,4550,4000,2015-06-02,10:30:00
2002,Kia,Rio,Base,Sedan,Automatic,knadc123426164922,FL,2,99419,Blue,Beige,autonation chevrolet west colonial,825,700,2015-06-02,10:30:00
2014,Kia,Sorento,LX,SUV,Automatic,5xykt3a60eg512136,FL,43,27419,Gray,Black,enterprise veh exchange/rental,16600,16800,2015-06-02,02:15:00
2012,Lexus,RX 350,Base,SUV,Automatic,2t2bk1ba7cc153950,FL,23,41550,Black,Black,lexus financial services,26700,23400,2015-06-02,02:30:00
2010,Mazda,CX-9,Touring,SUV,Automatic,jm3tb3mv6a0218466,FL,29,152242,Red,Gray,westfall auto sales,8975,10400,2015-06-02,09:00:00
2013,Nissan,Altima,2.5,Sedan,Automatic,1n4al3ap2dc242663,CO,32,60499,Gray,Beige,public service credit union,10550,10600,2015-06-02,05:00:00
2005,Nissan,Maxima,3.5 SL,Sedan,Automatic,1n4ba41e65c863730,NC,25,107108,Silver,Black,manheim statesville,4025,4100,2015-06-02,02:15:00
2012,Nissan,Rogue,SV,SUV,Automatic,jn8as5mv1cw709950,GA,46,33178,Black,Black,nissan marshlling,14500,14900,2015-06-02,02:30:00
2013,Nissan,Rogue,S,SUV,Automatic,jn8as5mv4dw638714,GA,36,30651,Gray,Black,nissan marshlling,13900,13400,2015-06-02,02:30:00
2013,Nissan,Rogue,S,SUV,Automatic,jn8as5mv8dw640840,FL,39,57873,Red,Black,the hertz corporation,12150,13200,2015-06-02,02:15:00
2009,Saturn,Aura,XE,Sedan,Automatic,1g8zs57b59f181221,FL,29,61172,Beige,Beige,autonation toyota scion weston,6300,5500,2015-06-02,10:30:00
2015,Toyota,Corolla,LE,Sedan,Automatic,5yfburhe9fp246223,FL,34,1645,Silver,Gray,world omni financial corporation,14850,13800,2015-06-02,02:30:00
2013,Audi,A4,2.0T Premium quattro,Sedan,Automatic,waubfafl9dn005928,NJ,19,68753,Black,Black,vw credit  inc,19750,17400,2015-06-03,02:30:00
2011,Bmw,3 Series,328i,Sedan,Automatic,wbaph7g56bnn02760,WI,4,57959,White,Tan,auto haus on velp inc,15550,16200,2015-06-03,03:00:00
2006,Buick,LaCrosse,CXL,Sedan,Automatic,2g4wd582761311399,MO,37,86264,White,Tan,hendrick toyota merriam,5900,6600,2015-06-03,03:30:00
2013,Chevrolet,Equinox,LTZ,SUV,Automatic,2gnflgekxd6403900,FL,38,58464,Gray,Black,the hertz corporation,15550,15900,2015-06-03,02:40:00
2011,Chrysler,200,Touring,Convertible,Automatic,1c3bc2eb6bn542946,WA,36,69065,Black,Black,puyallup nissan,6400,8000,2015-06-03,05:30:00
2012,Chrysler,300,Base,Sedan,Automatic,2c3ccaag7ch104513,TX,31,50944,White,Tan,tdaf remarketing,14800,14800,2015-06-03,03:15:00
2013,Dodge,Avenger,SXT,Sedan,Automatic,1c3cdzcb9dn625187,CA,26,36876,Black,Black,the hertz corporation,10700,10500,2015-06-03,05:30:00
2012,Ford,Edge,SE,SUV,Automatic,2fmdk3gcxcba60105,MN,28,44631,Silver,Beige,ford motor credit company llc,14800,13600,2015-06-03,03:00:00
2012,Ford,Escape,XLT,SUV,Automatic,1fmcu0d75ckc28489,WA,41,26828,Black,Black,xcar inc,15000,15300,2015-06-03,05:30:00
2014,Ford,Expedition,XLT,SUV,Automatic,1fmju1h59eef15115,TN,48,34418,—,Tan,ars/avis budget group,29400,30400,2015-06-03,03:00:00
2013,Ford,F-150,XLT,SuperCrew,Automatic,1ftfw1ct8dfd08444,TN,41,19488,—,Gray,tdaf remarketing,26400,26600,2015-06-03,03:30:00
2013,Ford,F-150,Lariat,SuperCrew,Automatic,1ftfw1ef8dkd65273,MN,38,24346,Black,Black,ford-lincoln dealer program,34200,33100,2015-06-03,03:00:00
2013,Ford,F-150,FX4,SuperCrew,Automatic,1ftfw1et4dfa48475,TN,49,21587,White,Black,midtown motors,35500,33500,2015-06-03,03:30:00
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h95er345224,MI,44,36777,Red,Beige,avis budget group,14100,14500,2015-06-03,03:00:00
1996,Ford,Taurus,GL,Sedan,Automatic,1falp52u6tg188630,UT,3,79685,White,Gray,hertz remarketing,450,200,2015-06-03,04:30:00
2013,Gmc,Yukon,Denali,SUV,Automatic,1gks1eef0dr329724,LA,47,19626,Black,Black,american auto brokers inc,41200,40750,2015-06-03,03:30:00
2006,Hummer,H2 SUT,Base,Crew Cab,Automatic,5grgn22ux6h101048,WI,44,86519,Gray,Black,cat wholesale llc,24000,24750,2015-06-03,03:00:00
2005,Jeep,Grand Cherokee,Limited,SUV,Automatic,1j8hr58225c697486,CA,24,153862,Black,Gray,california auto exchange,3825,4700,2015-06-03,05:30:00
2014,Kia,Soul,+,Wagon,Automatic,kndjp3a52e7015416,WI,43,29185,Gray,Black,avis corporation,12900,12700,2015-06-03,03:00:00
2013,Nissan,Altima,2.5,Sedan,Automatic,1n4al3ap0dc248414,FL,43,20267,Brown,Beige,nissan-infiniti lt,14500,14800,2015-06-03,02:00:00
2014,Nissan,Maxima,3.5 S,Sedan,Automatic,1n4aa5ap1ec466736,TN,41,36849,Black,Black,enterprise veh exchange/rental,15650,16400,2015-06-03,03:30:00
2013,Toyota,Corolla,LE,Sedan,Automatic,2t1bu4ee6dc929680,FL,23,21073,Gray,Gray,world omni financial corporation,11850,10800,2015-06-03,02:50:00
2014,Toyota,Corolla,LE,Sedan,Automatic,2t1burhe1ec087115,TX,37,33680,Red,Gray,avis corporation,12500,12800,2015-06-03,03:15:00
2012,Bmw,3 Series,335i,Coupe,Automatic,wbakg7c56ce802514,CA,5,21826,Blue,Beige,bmw north scottsdale,28300,27000,2015-06-04,05:30:00
2013,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb2d7172800,IN,43,31090,Brown,Black,gm financial,10800,11600,2015-06-04,03:10:00
2003,Chevrolet,Silverado 1500,SS,Extended Cab,Automatic,2gcek19n131400940,NY,25,93174,Black,Gray,adk auto brokers inc,12300,6700,2015-06-04,02:45:00
2013,Chevrolet,Sonic,LT,Hatchback,Automatic,1g1jc6sh0d4205147,FL,41,43187,White,Gray,the hertz corporation,8300,8500,2015-06-04,02:15:00
2010,Ford,Escape,Limited,SUV,Automatic,1fmcu9e75akc26855,MI,38,77540,White,Black,multi auto trading inc,11450,11800,2015-06-04,02:30:00
2013,Ford,F-150,FX4,SuperCrew,Automatic,1ftfw1et7dkf24290,MS,4,16245,—,Black,ford motor credit company llc,36000,37400,2015-06-04,03:00:00
2011,Hyundai,Sonata,GLS,Sedan,Automatic,5npeb4ac9bh295332,MI,35,82853,Silver,Gray,santander consumer,8450,7000,2015-06-04,02:30:00
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap1dm720552,CA,45,15033,Gray,Black,nissan infiniti lt,21800,22500,2015-06-04,05:30:00
2012,Jaguar,XF,Base,Sedan,Automatic,sajwa0fb2cls48321,CA,29,31653,Blue,Beige,jpmorgan chase bank n.a.,27600,23500,2015-06-04,05:30:00
2014,Kia,Optima,EX,Sedan,Automatic,5xxgn4a77eg267287,FL,48,10435,Gray,Beige,braman kia,18050,17000,2015-06-04,02:40:00
2013,Lincoln,Navigator,Base,SUV,Automatic,5lmjj2j55del06281,FL,29,25814,—,Black,ford-lincoln dealer program,35200,33000,2015-06-04,02:00:00
2013,Nissan,Leaf,SV,Hatchback,Automatic,1n4az0cp5dc405610,PA,47,14180,Black,Black,nissan-infiniti lt,9800,10100,2015-06-04,02:00:00
2008,Scion,tC,Base,Hatchback,Manual,jtkde167280244508,FL,19,63633,Burgundy,Black,regional acceptance corporation / greenville,7400,5900,2015-06-04,02:35:00
2011,Ford,Flex,SEL,Wagon,Automatic,2fmhk6ct7bbd11962,NV,37,71567,Silver,Black,kapitolia auto llc,17000,17300,2015-06-05,05:00:00
2014,Honda,Accord,LX,Sedan,Automatic,1hgcr2f3xea013065,PA,28,40284,Silver,Gray,ahfc/honda lease trust/hvt  inc.,15500,14400,2015-06-05,02:00:00
2006,Lincoln,Navigator,Luxury,SUV,Automatic,5lmfu27556lj20856,FL,2,65384,Black,—,d&a fine cars,10150,9700,2015-06-05,02:25:00
2008,Mitsubishi,Lancer Evolution,GSR,Sedan,Manual,ja3aw86v28u048865,FL,3,69590,Brown,Black,arg inc,19350,17800,2015-06-05,02:30:00
2013,Toyota,Corolla,LE,Sedan,Automatic,5yfbu4ee8dp151253,PA,4,37456,Blue,Beige,tdaf remarketing,10800,12200,2015-06-05,02:00:00
